REGION,TIMESLICE,FUEL,YEAR,VALUE
"SC","TM06","COMELC",2025,0.000612922662321576
"SC","TM06","COMELC",2026,0.00063260181210455
"SC","TM06","COMELC",2027,0.000652280961887524
"SC","TM06","COMELC",2028,0.000671960125295576
"SC","TM06","COMELC",2029,0.00069163927507855
"SC","TM06","COMELC",2030,0.000711318424861524
"SC","TM06","COMELC",2031,0.000715647153017358
"SC","TM06","COMELC",2032,0.00072001915442092
"SC","TM06","COMELC",2033,0.000724434878699784
"SC","TM06","COMELC",2034,0.000728894761856446
"SC","TM06","COMELC",2035,0.000733399239893402
"SC","TM06","COMELC",2036,0.000737948762438226
"SC","TM06","COMELC",2037,0.00074254379274357
"SC","TM06","COMELC",2038,0.000747184753186852
"SC","TM06","COMELC",2039,0.00075187213427088
"SC","TM06","COMELC",2040,0.000756606399248306
"SC","TM06","COMELC",2041,0.000761387984121626
"SC","TM06","COMELC",2042,0.000766217406643804
"SC","TM06","COMELC",2043,0.000771095116442414
"SC","TM06","COMELC",2044,0.000781522715637686
"SC","TM06","COMELC",2045,0.000791950314832958
"SC","TM06","COMELC",2046,0.00080237791402823
"SC","TM06","COMELC",2047,0.000812805513223502
"SC","TM06","COMELC",2048,0.000823233112418774
"SC","TM06","COMELC",2049,0.000833660711614046
"SC","TM06","COMELC",2050,0.000844088310809318
"SC","TM06","RESELC",2019,0.000276160424821042
"SC","TM06","RESELC",2020,0.000282260535742578
"SC","TM06","RESELC",2021,0.000288536055918286
"SC","TM06","RESELC",2022,0.000294993866012556
"SC","TM06","RESELC",2023,0.000299601458639816
"SC","TM06","RESELC",2024,0.000311353142915128
"SC","TM06","RESELC",2025,0.000323403052897704
"SC","TM06","RESELC",2026,0.000331945772427534
"SC","TM06","RESELC",2027,0.000340512921722218
"SC","TM06","RESELC",2028,0.00034910467790777
"SC","TM06","RESELC",2029,0.00035772124536036
"SC","TM06","RESELC",2030,0.000366362787580924
"SC","TM06","RESELC",2031,0.000370541476377822
"SC","TM06","RESELC",2032,0.000374769705958328
"SC","TM06","RESELC",2033,0.000379048075825874
"SC","TM06","RESELC",2034,0.000383377226359126
