REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM02","DEMCOMELC",1,2023,0.0236120563403839
"SC","TM02","DEMCOMELC",1,2024,0.0244370872497387
"SC","TM02","DEMCOMELC",1,2025,0.0252632424701494
"SC","TM02","DEMCOMELC",1,2026,0.0260743711216673
"SC","TM02","DEMCOMELC",1,2027,0.0268854997731852
"SC","TM02","DEMCOMELC",1,2028,0.0276966289862971
"SC","TM02","DEMCOMELC",1,2029,0.028507757637815
"SC","TM02","DEMCOMELC",1,2030,0.0293188862893329
"SC","TM02","DEMCOMELC",1,2031,0.0294973063669557
"SC","TM02","DEMCOMELC",1,2032,0.029677510066913
"SC","TM02","DEMCOMELC",1,2033,0.0298595159218045
"SC","TM02","DEMCOMELC",1,2034,0.0300433419026363
"SC","TM02","DEMCOMELC",1,2035,0.0302290059804142
"SC","TM02","DEMCOMELC",1,2036,0.0304165266877379
"SC","TM02","DEMCOMELC",1,2037,0.0306059231188013
"SC","TM02","DEMCOMELC",1,2038,0.0307972126830164
"SC","TM02","DEMCOMELC",1,2039,0.0309904155977646
"SC","TM02","DEMCOMELC",1,2040,0.0311855509572399
"SC","TM02","DEMCOMELC",1,2041,0.031382636732448
"SC","TM02","DEMCOMELC",1,2042,0.0315816942639585
"SC","TM02","DEMCOMELC",1,2043,0.0317827420843712
"SC","TM02","DEMCOMELC",1,2044,0.032212543400338
"SC","TM02","DEMCOMELC",1,2045,0.0326423447163048
"SC","TM02","DEMCOMELC",1,2046,0.0330721460322717
"SC","TM02","DEMCOMELC",1,2047,0.0335019473482385
"SC","TM02","DEMCOMELC",1,2048,0.0339317486642053
"SC","TM02","DEMCOMELC",1,2049,0.0343615499801721
"SC","TM02","DEMCOMELC",1,2050,0.0347913512961389
"SC","TM02","PWRDIST",1,2019,0.0336609244822712
"SC","TM02","PWRDIST",1,2020,0.0282331966098439
"SC","TM02","PWRDIST",1,2021,0.029300054921537
"SC","TM02","PWRDIST",1,2022,0.0352951353121929
"SC","TM02","PWRDIST",1,2023,0.0359609296311173
"SC","TM02","PWRDIST",1,2024,0.0372703375549479
"SC","TM02","PWRDIST",1,2025,0.0385931619578623
"SC","TM02","PWRDIST",1,2026,0.0397564015821074
"SC","TM02","PWRDIST",1,2027,0.0409206481442762
"SC","TM02","PWRDIST",1,2028,0.0420859095066838
"SC","TM02","PWRDIST",1,2029,0.0432521929700513
"SC","TM02","PWRDIST",1,2030,0.0444195058350998
"SC","TM02","PWRDIST",1,2031,0.044770161717944
"SC","TM02","PWRDIST",1,2032,0.0451246431786667
"SC","TM02","PWRDIST",1,2033,0.0454829934600009
"SC","TM02","PWRDIST",1,2034,0.0458452569278674
"SC","TM02","PWRDIST",1,2035,0.0462114773865931
"SC","TM02","PWRDIST",1,2036,0.0465816986405049
"SC","TM02","PWRDIST",1,2037,0.0469559667403052
"SC","TM02","PWRDIST",1,2038,0.0473343266135089
"SC","TM02","PWRDIST",1,2039,0.159249768236771
"SC","TM02","PWRDIST",1,2040,0.0481035092525003
"SC","TM02","PWRDIST",1,2041,0.161844922017104
"SC","TM02","PWRDIST",1,2042,0.163163847657827
"SC","TM02","PWRDIST",1,2043,0.0492891458044283
"SC","TM02","PWRDIST",1,2044,0.0499556881664729
"SC","TM02","PWRDIST",1,2045,0.0506222305285175
"SC","TM02","PWRDIST",1,2046,0.0512887723289682
"SC","TM02","PWRDIST",1,2047,0.173395269864616
"SC","TM02","PWRDIST",1,2048,0.175619783245591
"SC","TM02","PWRDIST",1,2049,0.177844296626566
"SC","TM02","PWRDIST",1,2050,0.0539549417771466
"SC","TM02","IMPLPG",1,2019,0.000143999995392
"SC","TM02","IMPLPG",1,2020,0.000127999995904
"SC","TM02","IMPLPG",1,2021,0.000133333329066667
"SC","TM02","IMPLPG",1,2022,0.000154666661717333
"SC","TM02","IMPLPG",1,2023,0.000154666661717333
"SC","TM02","IMPLPG",1,2024,0.00015999999488
"SC","TM02","IMPLPG",1,2025,0.000170666661205333
"SC","TM02","IMPLPG",1,2026,0.000175999994368
"SC","TM02","IMPLPG",1,2027,0.000175999994368
"SC","TM02","IMPLPG",1,2028,0.000181333327530667
"SC","TM02","IMPLPG",1,2029,0.000186666660693334
"SC","TM02","IMPLPG",1,2030,0.000191999993856
"SC","TM02","IMPLPG",1,2031,0.000191999993856
"SC","TM02","IMPLPG",1,2032,0.000197333327018667
"SC","TM02","IMPLPG",1,2033,0.000197333327018667
"SC","TM02","IMPLPG",1,2034,0.000197333327018667
"SC","TM02","IMPLPG",1,2035,0.000202666660181334
"SC","TM02","IMPLPG",1,2036,0.000202666660181334
"SC","TM02","IMPLPG",1,2037,0.000202666660181334
"SC","TM02","IMPLPG",1,2038,0.000207999993344
"SC","TM02","IMPLPG",1,2039,0.000207999993344
"SC","TM02","IMPLPG",1,2040,0.000207999993344
"SC","TM02","IMPLPG",1,2041,0.000213333326506667
"SC","TM02","IMPLPG",1,2042,0.000213333326506667
"SC","TM02","IMPLPG",1,2043,0.000213333326506667
"SC","TM02","IMPLPG",1,2044,0.000218666659669334
"SC","TM02","IMPLPG",1,2045,0.000218666659669334
