REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM02","IMPDSL",1,2033,0.131999995775999
"SC","TM02","IMPDSL",1,2034,0.131999995776
"SC","TM02","IMPDSL",1,2035,0.131999995776
"SC","TM02","IMPDSL",1,2036,0.131999995776
"SC","TM02","IMPDSL",1,2037,0.131999995776
"SC","TM02","IMPDSL",1,2038,0.131999995776
"SC","TM02","IMPDSL",1,2039,0.131999995776
"SC","TM02","IMPDSL",1,2040,0.131999995776
"SC","TM02","IMPDSL",1,2041,0.131999995776
"SC","TM02","IMPDSL",1,2042,0.131999995776
"SC","TM02","IMPDSL",1,2043,0.131999995776
"SC","TM02","IMPDSL",1,2044,0.131999995776
"SC","TM02","IMPDSL",1,2045,0.131999995776
"SC","TM02","IMPDSL",1,2046,0.131999995776
"SC","TM02","IMPDSL",1,2047,0.131999995776
"SC","TM02","IMPDSL",1,2048,0.131999995776
"SC","TM02","IMPDSL",1,2049,0.131999995776
"SC","TM02","IMPDSL",1,2050,0.131999995776
"SC","TM02","PWRDIE",1,2019,0.03365017344
"SC","TM02","PWRDIE",1,2020,0.0282331966098439
"SC","TM02","PWRDIE",1,2021,0.03365017344
"SC","TM02","PWRDIE",1,2022,0.03365017344
"SC","TM02","PWRDIE",1,2023,0.03365017344
"SC","TM02","PWRDIE",1,2024,0.03999999872
"SC","TM02","PWRDIE",1,2025,0.03999999872
"SC","TM02","PWRDIE",1,2026,0.03999999872
"SC","TM02","PWRDIE",1,2027,0.03999999872
"SC","TM02","PWRDIE",1,2028,0.03999999872
"SC","TM02","PWRDIE",1,2029,0.03999999872
"SC","TM02","PWRDIE",1,2030,0.0399999987199998
"SC","TM02","PWRDIE",1,2031,0.0399999987199998
"SC","TM02","PWRDIE",1,2032,0.0399999987199998
"SC","TM02","PWRDIE",1,2033,0.0399999987199998
"SC","TM02","PWRDIE",1,2034,0.03999999872
"SC","TM02","PWRDIE",1,2035,0.03999999872
"SC","TM02","PWRDIE",1,2036,0.03999999872
"SC","TM02","PWRDIE",1,2037,0.03999999872
"SC","TM02","PWRDIE",1,2038,0.03999999872
"SC","TM02","PWRDIE",1,2039,0.03999999872
"SC","TM02","PWRDIE",1,2040,0.03999999872
"SC","TM02","PWRDIE",1,2041,0.03999999872
"SC","TM02","PWRDIE",1,2042,0.03999999872
"SC","TM02","PWRDIE",1,2043,0.03999999872
"SC","TM02","PWRDIE",1,2044,0.03999999872
"SC","TM02","PWRDIE",1,2045,0.03999999872
"SC","TM02","PWRDIE",1,2046,0.03999999872
"SC","TM02","PWRDIE",1,2047,0.03999999872
"SC","TM02","PWRDIE",1,2048,0.03999999872
"SC","TM02","PWRDIE",1,2049,0.03999999872
"SC","TM02","PWRDIE",1,2050,0.03999999872
"SC","TM02","PWRWND",1,2019,0.0082247306615424
